Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4537.109863,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4143.548340,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4173.248535,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4113.843750,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4284.636719,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4284.636719,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4247.507324,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4240.081543,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4329.190430,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4529.684570,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4529.684570,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4425.723633,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4485.130371,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4366.319336,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4232.655762,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4039.586426,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4069.290039,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4098.992676,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4321.765625,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4143.548340,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,3950.478760,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3898.500488,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3809.389893,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3809.389893,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3891.073730,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4032.161865,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4247.507324,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4277.211914,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4232.655762,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,3995.034180,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3861.368896,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3712.855713,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3772.260742,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,3935.627686,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3764.836670,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3801.965088,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3816.815430,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3764.836670,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3801.965088,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3564.341309,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3801.965088,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3801.965088,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4366.319336,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4455.427246,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4188.101563,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4173.248535,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,4396.023438,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,4173.248535,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,4113.843750,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,3846.519287,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,3868.795898,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,4009.884521,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,4009.884521,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,4069.290039,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,4202.954102,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,4366.319336,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,4603.941895,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,4603.941895,64950000
2000-03-24,6320.000000,7120.000000,6180.000000,6800.000000,5049.483887,90260000
2000-03-27,6960.000000,7040.000000,6700.000000,6800.000000,5049.483887,67730000
2000-03-28,6900.000000,7260.000000,6820.000000,7030.000000,5220.276855,74425000
2000-03-29,7030.000000,7680.000000,6980.000000,7660.000000,5688.096191,78090000
2000-03-30,7520.000000,7560.000000,7050.000000,7050.000000,5235.127930,74645000
2000-03-31,6800.000000,7070.000000,6650.000000,6700.000000,4975.226074,63855000
2000-04-03,6920.000000,7320.000000,6860.000000,7100.000000,5272.257324,56805000
2000-04-04,7000.000000,7290.000000,6660.000000,6800.000000,5049.483887,58340000
2000-04-05,6800.000000,6800.000000,6800.000000,6800.000000,5049.483887,0
2000-04-06,6860.000000,6960.000000,6680.000000,6680.000000,4960.375488,47235000
2000-04-07,6860.000000,7260.000000,6780.000000,7200.000000,5346.513184,42355000
2000-04-10,7500.000000,7500.000000,7200.000000,7300.000000,5420.770020,35885000
2000-04-11,7200.000000,7200.000000,6950.000000,7100.000000,5272.257324,29075000
2000-04-12,6960.000000,7030.000000,6860.000000,6910.000000,5131.167480,35250000
2000-04-13,6910.000000,6910.000000,6910.000000,6910.000000,5131.167480,0
2000-04-14,6600.000000,6680.000000,6260.000000,6260.000000,4648.495605,62365000
2000-04-17,5420.000000,5750.000000,5340.000000,5520.000000,4098.992676,78050000
2000-04-18,6200.000000,6240.000000,5860.000000,6040.000000,4485.130371,73730000
2000-04-19,6300.000000,6460.000000,5860.000000,6000.000000,4455.427246,60615000
2000-04-20,5960.000000,6160.000000,5920.000000,6020.000000,4470.279297,37335000
